"","p-value","fold change"
"xylose",0.0126810877223584,-1.74783912678983
"xylonic acid isomer",0.993851017410828,1.00065979672217
"xylonic acid",0.547513847722923,1.06997610177831
"xylitol",0.629689215159326,1.2370503403496
"xanthine",0.14960856415939,-2.56633815565454
"valine",0.372907473110035,-1.12539158620249
"uric acid",0.315796147942926,-1.13469524485615
"urea",0.582356305851853,1.05324932055803
"uracil",0.712985951037714,-1.04711789467981
"UDP-glucuronic acid",0.0204204671332784,1.65383501226645
"tyrosine",0.239736857549989,1.3959638983435
"tryptophan",0.475719610351806,1.16664107196628
"thymine",0.419154380475787,1.1264927368973
"threonine",0.932939408300511,-1.00965493742336
"threonic acid",0.0736950233564493,-1.56650540074915
"threitol",0.813165217003679,-1.02338797277129
"taurine",0.295193552119547,9.74452568185265
"tartaric acid",0.694777051622809,-1.25756673028538
"tagatose",0.0171806024269418,2.19293501164269
"sulfuric acid",0.00832326515111487,-1.99550076126728
"sucrose",0.0459595659144219,1.83553577793804
"succinic acid",4.50342500160865e-09,-1.87251581152251
"stearic acid",0.0219386383579676,1.13678762158425
"sorbitol",0.279417718719465,2.00949787920505
"serine",0.0383083420001876,1.33609513389601
"saccharic acid",0.837916220670447,1.01826887719188
"ribose",0.239295317818507,1.06873894517565
"ribonic acid",0.533451184832246,-1.05765673028995
"ribitol",0.256861638342676,-1.91518711378182
"quinic acid",0.439655345744309,-1.17103810084006
"pyrogallol",0.750280947895874,1.15677817616412
"p-tolyl glucuronide",0.72218777510432,1.11764097945325
"pseudo uridine",0.522838857539888,-1.09401454128379
"propane-1,3-diol NIST",0.00235678423163815,1.2878040780879
"pimelic acid",0.220152429312745,1.21177840183409
"phosphate",0.821764210049871,1.01939723459531
"phenol",0.370850621851322,1.25514175756772
"pentitol",0.201726988764127,1.89052604123768
"pentadecanoic acid",0.380767486096899,1.49493429564225
"pelargonic acid",0.000454684617500339,1.29840477334794
"parabanic acid NIST",0.628526285947532,1.08107354273811
"pantothenic acid",0.0718906320573106,-1.27483824114044
"palmitic acid",0.0824579778389596,1.11134481481783
"oxoproline",0.124505665065141,-1.11359821660324
"oxalic acid",0.342067491857824,-1.12116458777794
"oleic acid",0.0148436896121405,1.17020029859817
"N-methylglutamic acid",0.157818624296396,-1.46278904156255
"N-carbamylglutamate",0.37137397260818,1.17103517246585
"N-acetylmannosamine",0.0987921434169934,-1.49078639302307
"n-acetyl-d-hexosamine",0.665820513009621,-1.11503892760102
"N-acetylaspartic acid",0.000109694551947975,-1.29826660288029
"myristic acid",0.093109249593962,1.11136999529062
"myo-inositol",0.338340477608046,-1.34813561265415
"mannose",0.616866841219242,-1.14092475450551
"mannitol",0.235344582993021,1.51572128396266
"maltose",0.294135610443559,-1.32300172358876
"malic acid",0.00167888030069807,-1.82313441026511
"lyxose",0.0240342897390791,-1.50204738437666
"lyxitol",0.97615664064492,1.00352448026332
"levoglucosan",0.0264540957150295,1.82113022517059
"lauric acid",0.346180044900057,-1.08943346586729
"lactulose",0.70161934525117,-1.25585779533307
"lactose",0.541033005183554,-1.30965536069474
"lactic acid",0.340337372000898,-1.44138006493096
"isothreonic acid",0.0772391087118738,1.09669406304511
"isohexonic acid",0.489172863314817,1.05543010407298
"isocitric acid",0.816114817330474,-1.01449701507377
"isobutene glycol NIST",0.236367510506484,1.07720108661238
"indoxyl sulfate",0.741101577284591,-1.05314861442154
"indole-3-acetate",0.936000381391382,1.01105138376263
"hypoxanthine",0.724327623080916,1.07704511576916
"hydroxyproline dipeptide NIST",0.813957521498814,1.06189395886889
"hydroxylamine",0.0425699314181196,1.1736091474706
"hydroxycarbamate NIST",0.590531827522224,-1.05604988164976
"homovanillic acid",0.043465872003341,1.55853783231084
"hippuric acid",0.805372458881807,1.04688130522209
"hexuronic acid",0.928749900173511,1.0076793275292
"hexose",0.403292900758639,1.13447569183553
"hexitol",0.216680167707423,-1.15814483975558
"hexadecane",0.368992166588784,1.09839545327462
"heptadecanoic acid",0.0445434781300017,1.13545762745272
"glycolic acid",0.206968946645311,-1.11928634091173
"glycocyamine",0.739271853922001,-1.14077553471627
"glycine",0.00380825551827555,-2.22428812067355
"glycerol-alpha-phosphate",0.0930105939603366,-1.25713046433905
"glycerol-3-galactoside",0.690184445160278,1.0588931847275
"glyceric acid",0.297149877467945,-1.17434028826616
"glucose",0.627227254967298,1.4779089025842
"gluconic acid lactone",0.422889382925163,-1.0602167482765
"gluconic acid",0.0234715176613158,-1.1920777381036
"galactonic acid",0.0225298234420069,-1.4284035770646
"furoylglycine NIST",0.196017159073359,-1.40542477324157
"fumaric acid",0.0354237524387042,-1.38180381956018
"fucose",0.357000121851762,1.07710568635276
"fructose",0.327510279571854,1.4259910981442
"ethanolamine",0.155165363377437,1.13772948467501
"erythronic acid lactone",0.0352420182796089,-1.88092894736532
"erythritol",0.333108211290429,1.45327471779138
"diglycerol",0.58701555660402,1.05398926564779
"deoxypentitol",0.902941716900316,1.01287702165217
"creatinine",0.0791530637111176,-2.75557429085181
"conduritol-beta-epoxide",0.194034311746767,-3.21516683658735
"citric acid",0.000246559627367067,-1.37430077465632
"citramalic acid",0.28435223195029,-1.09945993148896
"catechol",0.356839749067693,-1.13564267442405
"caprylic acid",0.0552014211004899,1.15239479709458
"capric acid",0.0167795329337441,1.17130634451692
"beta-alanine",0.354788556017378,-1.68877631289135
"benzylalcohol",0.269231426334415,-1.24110099473083
