"label","No"
"1_ISTD Ceramide (d18:1/17:0) [M+HCOO]- ",1
"1_ISTD CUDA [M-H]- ",2
"1_ISTD FA (16:0)-d3 [M-H]- ",4
"1_ISTD LPC (17:0) [M+HCOO]- ",5
"1_ISTD LPE (17:1) [M-H]-",8
"1_ISTD PC (12:0/13:0) [M+HCOO]-",10
"1_ISTD PE (17:0/17:0) [M-H]-",13
"1_ISTD PG (17:0/17:0) [M-H]-",14
"1_ISTD SM (d18:1/17:0) [M+HCOO]-",15
"Cer (d32:1) [M+HCOO]-",16
"Cer (d34:0) [M+HCOO]-",17
"Cer (d34:1) [M+HCOO]- ",19
"Cer (d34:2) [M+HCOO]-",20
"Cer (d36:1) [M+HCOO]-",21
"Cer (d38:1) [M+HCOO]-",23
"Cer (d39:1) [M+HCOO]-",24
"Cer (d40:1) [M+HCOO]-",26
"Cer (d40:2) [M+HCOO]-",27
"Cer (d41:1) [M+HCOO]-",29
"Cer (d42:1) [M+HCOO]-",30
"Cer (d42:2) A [M+HCOO]- ",32
"Cer (d42:2) B [M+HCOO]-",33
"Cer (d43:1) [M+HCOO]-",34
"Cer (d44:1) [M+HCOO]-",35
"FA (16:0) [M-H]-",133
"FA (16:1) [M-H]-",134
"FA (18:0) [M-H]-",135
"FA (18:1) [M-H]-",136
"FA (18:2) [M-H]-",137
"FA (20:4) [M-H]-",138
"FA (22:4) [M-H]-",139
"GlcCer (d34:1) [M+HCOO]-",140
"GlcCer (d38:1) [M+HCOO]-",141
"GlcCer (d40:1) [M+HCOO]- ",142
"GlcCer (d41:1) [M+HCOO]-",144
"GlcCer (d42:1) [M+HCOO]- ",145
"GlcCer (d42:2) [M+HCOO]-",147
"LPC (14:0) [M+HCOO]-",148
"LPC (16:0) [M+HCOO]-",152
"LPC (16:1) [M+HCOO]-",154
"LPC (18:0) [M+HCOO]-",156
"LPC (18:1) [M+HCOO]- ",158
"LPC (18:2) [M+HCOO]-",159
"LPC (20:1) [M+HCOO]-",160
"LPC (20:2) [M+HCOO]-",161
"LPC (20:3) [M+HCOO]-",162
"LPC (22:5) [M+HCOO]-",163
"LPE (16:0) [M-H]-",164
"LPE (18:2) [M-H]- ",165
"LPE (20:4) [M-H]-",166
"LPE (22:6) [M-H]- ",167
"PC (30:0) [M+HCOO]-",168
