"label","batch","type","time"
"QC000","A","QC",1
"validate01","A","validate",2
"GB001617","A","Sample",3
"GB001333","A","Sample",4
"GB001191","A","Sample",5
"GB001827","A","Sample",6
"GB001722","A","Sample",7
"GB001468","A","Sample",8
"GB001543","A","Sample",9
"GB001347","A","Sample",10
"GB001762","A","Sample",11
"GB001719","A","Sample",12
"QC001","A","QC",13
"GB001531","A","Sample",14
"GB001540","A","Sample",15
"GB001341","A","Sample",16
"GB001588","A","Sample",17
"GB001301","A","Sample",18
"GB001234","A","Sample",19
"GB001283","A","Sample",20
"GB001126","A","Sample",21
"GB001052","A","Sample",22
"GB001630","A","Sample",23
"QC002","A","QC",24
"GB001131","A","Sample",25
"GB001684","A","Sample",26
"GB001235","A","Sample",27
"GB001705","A","Sample",28
"GB001648","A","Sample",29
"GB001773","A","Sample",30
"GB001137","A","Sample",31
"GB001625","A","Sample",32
"GB001519","A","Sample",33
"GB001098","A","Sample",34
"QC003","A","QC",35
"GB001317","A","Sample",36
"GB001127","A","Sample",37
"GB001431","A","Sample",38
"GB001130","A","Sample",39
"GB001774","A","Sample",40
"GB001491","A","Sample",41
"GB001675","A","Sample",42
"GB001091","A","Sample",43
"GB001671","A","Sample",44
"GB001071","A","Sample",45
"QC004","A","QC",46
"GB001548","A","Sample",47
"GB001291","A","Sample",48
"GB001419","A","Sample",49
"GB001545","A","Sample",50
"GB001285","A","Sample",51
"GB001750","A","Sample",52
"GB001823","A","Sample",53
"GB001739","A","Sample",54
"GB001292","A","Sample",55
"GB001059","A","Sample",56
"QC005","A","QC",57
"GB001689","A","Sample",58
"GB001829","A","Sample",59
"GB001634","A","Sample",60
"GB001389","A","Sample",61
"GB002470","A","Sample",62
"GB002086","A","Sample",63
"GB002053","A","Sample",64
"GB001997","A","Sample",65
"GB002075","A","Sample",66
"GB001851","A","Sample",67
"QC006","A","QC",68
"GB002146","A","Sample",69
"GB002198","A","Sample",70
"GB001922","A","Sample",71
"GB002248","A","Sample",72
"GB002115","A","Sample",73
"GB002286","A","Sample",74
"GB001933","A","Sample",75
"GB001945","A","Sample",76
"GB002381","A","Sample",77
"GB001944","A","Sample",78
"QC007","A","QC",79
"GB002056","A","Sample",80
"GB002272","A","Sample",81
"GB002449","A","Sample",82
"GB002335","A","Sample",83
"GB002195","A","Sample",84
